library_id,id,treatment,wound,genet,tank,day,plate,symbiont_cells_per_cm2,genet_mean_heat_sensitivity,genet_pca_displacement,genet_resilience_rank
28C_T12_A_D3_U_id190,190,28C,no,a,12,3,1,1405553.2385871483,0.427,3.724,3
28C_T12_A_D3_W_id167,167,28C,yes,a,12,3,1,869027.7454937345,0.427,3.724,3
28C_T12_C_D3_U_id273,273,28C,no,c,12,3,1,504715.13120365085,-0.028,1.06,1
28C_T12_C_D3_W_id301,301,28C,yes,c,12,3,1,769555.5047404618,-0.028,1.06,1
28C_T12_D_D10_U_id202,202,28C,no,d,12,10,1,819730.7401581238,0.294,3.339,2
28C_T12_D_D10_W_id243,243,28C,yes,d,12,10,1,1062774.0253584548,0.294,3.339,2
28C_T12_D_D1_U_id234,234,28C,no,d,12,1,1,1220120.3710018415,0.294,3.339,2
28C_T12_D_D1_W_id231,231,28C,yes,d,12,1,1,1216210.1007663067,0.294,3.339,2
28C_T3_A_D10_U_id114,114,28C,no,a,3,10,1,678261.3324500804,0.427,3.724,3
28C_T3_A_D10_W_id191,191,28C,yes,a,3,10,1,896574.8345881816,0.427,3.724,3
28C_T3_A_D1_U_id111,111,28C,no,a,3,1,1,1188718.0478109645,0.427,3.724,3
28C_T3_A_D1_W_id209,209,28C,yes,a,3,1,1,628782.3927998758,0.427,3.724,3
28C_T3_C_D10_U_id279,279,28C,no,c,3,10,1,736847.399657982,-0.028,1.06,1
28C_T3_C_D10_W_id291,291,28C,yes,c,3,10,1,900813.4077503647,-0.028,1.06,1
28C_T3_C_D1_U_id298,298,28C,no,c,3,1,1,1657602.2544707526,-0.028,1.06,1
28C_T3_C_D1_W_id296,296,28C,yes,c,3,1,1,998299.193965836,-0.028,1.06,1
28C_T3_D_D3_U_id242,242,28C,no,d,3,3,1,1018496.791233738,0.294,3.339,2
28C_T3_D_D3_W_id247,247,28C,yes,d,3,3,1,833706.2341744521,0.294,3.339,2
28C_T6_A_D3_U_id194,194,28C,no,a,6,3,1,1261179.815602054,0.427,3.724,3
28C_T6_A_D3_W_id208,208,28C,yes,a,6,3,1,1151459.8540145985,0.427,3.724,3
28C_T6_C_D3_U_id281,281,28C,no,c,6,3,1,1139909.6048360013,-0.028,1.06,1
28C_T6_C_D3_W_id282,282,28C,yes,c,6,3,1,1195594.9455949457,-0.028,1.06,1
28C_T6_D_D10_U_id232,232,28C,no,d,6,10,1,1171654.7641420786,0.294,3.339,2
28C_T6_D_D10_W_id248,248,28C,yes,d,6,10,1,825597.0327310588,0.294,3.339,2
28C_T6_D_D1_U_id222,222,28C,no,d,6,1,1,717147.9139323072,0.294,3.339,2
28C_T6_D_D1_W_id238,238,28C,yes,d,6,1,1,1226470.5882352942,0.294,3.339,2
28C_T9_A_D10_U_id137,137,28C,no,a,9,10,1,882491.3711954816,0.427,3.724,3
28C_T9_A_D10_W_id189,189,28C,yes,a,9,10,1,815638.1331563813,0.427,3.724,3
28C_T9_A_D1_U_id148,148,28C,no,a,9,1,1,1135659.215063345,0.427,3.724,3
28C_T9_A_D1_W_id159,159,28C,yes,a,9,1,1,1152621.6990943914,0.427,3.724,3
28C_T9_C_D10_U_id253,253,28C,no,c,9,10,1,1434829.7522309187,-0.028,1.06,1
28C_T9_C_D10_W_id285,285,28C,yes,c,9,10,1,920733.2384699087,-0.028,1.06,1
28C_T9_C_D1_U_id261,261,28C,no,c,9,1,1,1054378.6000195255,-0.028,1.06,1
28C_T9_C_D1_W_id288,288,28C,yes,c,9,1,1,883558.7389849677,-0.028,1.06,1
28C_T9_D_D3_U_id229,229,28C,no,d,9,3,1,475297.1394037067,0.294,3.339,2
28C_T9_D_D3_W_id218,218,28C,yes,d,9,3,1,848360.0444171901,0.294,3.339,2
31C_T10_A_D10_U_id158,158,31C,no,a,10,10,1,193876.78366640976,0.427,3.724,3
31C_T10_A_D10_W_id214,214,31C,yes,a,10,10,1,270904.60270564456,0.427,3.724,3
31C_T10_A_D1_U_id171,171,31C,no,a,10,1,1,680610.4552236852,0.427,3.724,3
31C_T10_A_D1_W_id210,210,31C,yes,a,10,1,1,716507.104091713,0.427,3.724,3
31C_T10_C_D10_U_id286,286,31C,no,c,10,10,1,371697.57170873263,-0.028,1.06,1
31C_T10_C_D10_W_id283,283,31C,yes,c,10,10,1,432055.6567245982,-0.028,1.06,1
31C_T10_C_D1_U_id262,262,31C,no,c,10,1,1,1401671.4270601927,-0.028,1.06,1
31C_T10_C_D1_W_id254,254,31C,yes,c,10,1,1,482382.8904058502,-0.028,1.06,1
31C_T10_D_D3_U_id241,241,31C,no,d,10,3,1,314020.59522462374,0.294,3.339,2
31C_T10_D_D3_W_id216,216,31C,yes,d,10,3,1,597027.7058913077,0.294,3.339,2
31C_T11_A_D3_U_id168,168,31C,no,a,11,3,1,942921.8003520241,0.427,3.724,3
31C_T11_A_D3_W_id112,112,31C,yes,a,11,3,1,415439.72034233954,0.427,3.724,3
31C_T11_C_D3_U_id284,284,31C,no,c,11,3,1,962607.6464464844,-0.028,1.06,1
31C_T11_C_D3_W_id265,265,31C,yes,c,11,3,1,872582.5727944372,-0.028,1.06,1
31C_T11_D_D10_U_id225,225,31C,no,d,11,10,1,423679.0031543269,0.294,3.339,2
31C_T11_D_D10_W_id240,240,31C,yes,d,11,10,1,584803.6041868998,0.294,3.339,2
31C_T11_D_D1_U_id244,244,31C,no,d,11,1,1,827814.5695364239,0.294,3.339,2
31C_T11_D_D1_W_id228,228,31C,yes,d,11,1,1,850854.6362123734,0.294,3.339,2
31C_T4_A_D10_U_id142,142,31C,no,a,4,10,1,157781.0106542296,0.427,3.724,3
31C_T4_A_D10_W_id136,136,31C,yes,a,4,10,1,269668.05240614765,0.427,3.724,3
31C_T4_A_D1_U_id182,182,31C,no,a,4,1,1,568918.9754750147,0.427,3.724,3
31C_T4_A_D1_W_id197,197,31C,yes,a,4,1,1,555106.9842551474,0.427,3.724,3
31C_T4_C_D10_U_id293,293,31C,no,c,4,10,1,628303.9154197653,-0.028,1.06,1
31C_T4_C_D10_W_id260,260,31C,yes,c,4,10,1,684031.7290313944,-0.028,1.06,1
31C_T4_C_D1_U_id274,274,31C,no,c,4,1,1,1038925.0588724199,-0.028,1.06,1
31C_T4_C_D1_W_id276,276,31C,yes,c,4,1,1,925084.7868217054,-0.028,1.06,1
31C_T4_D_D3_U_id236,236,31C,no,d,4,3,1,575475.5730630666,0.294,3.339,2
31C_T4_D_D3_W_id206,206,31C,yes,d,4,3,1,591973.4945622672,0.294,3.339,2
31C_T5_A_D3_U_id153,153,31C,no,a,5,3,1,393137.77379692206,0.427,3.724,3
31C_T5_A_D3_W_id212,212,31C,yes,a,5,3,1,1951919.7231091196,0.427,3.724,3
31C_T5_C_D3_U_id297,297,31C,no,c,5,3,1,850544.9509243091,-0.028,1.06,1
31C_T5_C_D3_W_id270,270,31C,yes,c,5,3,1,633074.2355713241,-0.028,1.06,1
31C_T5_D_D10_U_id233,233,31C,no,d,5,10,1,66540.27904891761,0.294,3.339,2
31C_T5_D_D10_W_id235,235,31C,yes,d,5,10,1,125276.65260784232,0.294,3.339,2
31C_T5_D_D1_U_id200,200,31C,no,d,5,1,1,674264.6185518033,0.294,3.339,2
31C_T5_D_D1_W_id226,226,31C,yes,d,5,1,1,627358.580924468,0.294,3.339,2
28C_T12_A_D10_U_id196,196,28C,no,a,12,10,2,951437.270283614,0.427,3.724,3
28C_T12_A_D10_W_id213,213,28C,yes,a,12,10,2,652529.1652166018,0.427,3.724,3
28C_T12_A_D1_U_id151,151,28C,no,a,12,1,2,1130649.073229345,0.427,3.724,3
28C_T12_A_D1_W_id164,164,28C,yes,a,12,1,2,1485248.2126674051,0.427,3.724,3
28C_T12_C_D10_U_id275,275,28C,no,c,12,10,2,1306695.7043489856,-0.028,1.06,1
28C_T12_C_D10_W_id252,252,28C,yes,c,12,10,2,1306184.6907654617,-0.028,1.06,1
28C_T12_C_D1_U_id287,287,28C,no,c,12,1,2,1053715.4808143752,-0.028,1.06,1
28C_T12_C_D1_W_id294,294,28C,yes,c,12,1,2,1267548.1765437215,-0.028,1.06,1
28C_T12_D_D3_U_id201,201,28C,no,d,12,3,2,678998.3745190428,0.294,3.339,2
28C_T12_D_D3_W_id223,223,28C,yes,d,12,3,2,1157850.4172089107,0.294,3.339,2
28C_T3_A_D3_U_id134,134,28C,no,a,3,3,2,776432.9234922836,0.427,3.724,3
28C_T3_A_D3_W_id160,160,28C,yes,a,3,3,2,1005390.0661584444,0.427,3.724,3
28C_T3_C_D3_U_id290,290,28C,no,c,3,3,2,834116.9602110666,-0.028,1.06,1
28C_T3_C_D3_W_id250,250,28C,yes,c,3,3,2,964175.5227973947,-0.028,1.06,1
28C_T3_D_D10_U_id204,204,28C,no,d,3,10,2,884138.5751889276,0.294,3.339,2
28C_T3_D_D10_W_id258,258,28C,yes,d,3,10,2,1036501.3065574783,0.294,3.339,2
28C_T3_D_D1_U_id246,246,28C,no,d,3,1,2,966111.7717003566,0.294,3.339,2
28C_T3_D_D1_W_id203,203,28C,yes,d,3,1,2,1168488.4109540565,0.294,3.339,2
28C_T6_A_D10_U_id199,199,28C,no,a,6,10,2,1299790.757610554,0.427,3.724,3
28C_T6_A_D10_W_id135,135,28C,yes,a,6,10,2,933447.0129695585,0.427,3.724,3
28C_T6_A_D1_U_id192,192,28C,no,a,6,1,2,1498762.3124129751,0.427,3.724,3
28C_T6_A_D1_W_id140,140,28C,yes,a,6,1,2,1486409.966024915,0.427,3.724,3
28C_T6_C_D10_U_id267,267,28C,no,c,6,10,2,1330917.8266371402,-0.028,1.06,1
28C_T6_C_D10_W_id292,292,28C,yes,c,6,10,2,1042852.2344149291,-0.028,1.06,1
28C_T6_C_D1_U_id280,280,28C,no,c,6,1,2,948918.5725934843,-0.028,1.06,1
28C_T6_C_D1_W_id268,268,28C,yes,c,6,1,2,1494431.2140674992,-0.028,1.06,1
28C_T6_D_D3_U_id220,220,28C,no,d,6,3,2,973562.9662132515,0.294,3.339,2
28C_T6_D_D3_W_id245,245,28C,yes,d,6,3,2,1135934.7687907198,0.294,3.339,2
28C_T9_A_D3_U_id157,157,28C,no,a,9,3,2,682134.4030646357,0.427,3.724,3
28C_T9_A_D3_W_id187,187,28C,yes,a,9,3,2,940603.8747686846,0.427,3.724,3
28C_T9_C_D3_U_id271,271,28C,no,c,9,3,2,1180792.4429283652,-0.028,1.06,1
28C_T9_C_D3_W_id272,272,28C,yes,c,9,3,2,905998.2637136339,-0.028,1.06,1
28C_T9_D_D10_U_id217,217,28C,no,d,9,10,2,1015664.0039940089,0.294,3.339,2
28C_T9_D_D10_W_id237,237,28C,yes,d,9,10,2,854542.0769087869,0.294,3.339,2
28C_T9_D_D1_U_id257,257,28C,no,d,9,1,2,1250575.6389592448,0.294,3.339,2
28C_T9_D_D1_W_id227,227,28C,yes,d,9,1,2,1139873.331117931,0.294,3.339,2
31C_T10_A_D3_U_id155,155,31C,no,a,10,3,2,665109.3374862112,0.427,3.724,3
31C_T10_A_D3_W_id193,193,31C,yes,a,10,3,2,308131.3817432841,0.427,3.724,3
31C_T10_C_D3_U_id255,255,31C,no,c,10,3,2,986250.7490512019,-0.028,1.06,1
31C_T10_C_D3_W_id266,266,31C,yes,c,10,3,2,617351.3986013986,-0.028,1.06,1
31C_T10_D_D10_U_id205,205,31C,no,d,10,10,2,334618.6555336503,0.294,3.339,2
31C_T10_D_D10_W_id186,186,31C,yes,d,10,10,2,283553.8752362949,0.294,3.339,2
31C_T10_D_D1_U_id259,259,31C,no,d,10,1,2,569666.4033541958,0.294,3.339,2
31C_T10_D_D1_W_id256,256,31C,yes,d,10,1,2,576240.0181373907,0.294,3.339,2
31C_T11_A_D10_U_id207,207,31C,no,a,11,10,2,243989.2006275311,0.427,3.724,3
31C_T11_A_D10_W_id195,195,31C,yes,a,11,10,2,275325.60245159495,0.427,3.724,3
31C_T11_A_D1_U_id188,188,31C,no,a,11,1,2,285388.1278538813,0.427,3.724,3
31C_T11_A_D1_W_id181,181,31C,yes,a,11,1,2,1180257.5107296137,0.427,3.724,3
31C_T11_C_D10_U_id299,299,31C,no,c,11,10,2,1007094.3861813694,-0.028,1.06,1
31C_T11_C_D10_W_id269,269,31C,yes,c,11,10,2,937621.7003335648,-0.028,1.06,1
31C_T11_C_D1_U_id264,264,31C,no,c,11,1,2,727761.5169254263,-0.028,1.06,1
31C_T11_C_D1_W_id300,300,31C,yes,c,11,1,2,760300.8502289078,-0.028,1.06,1
31C_T11_D_D3_U_id185,185,31C,no,d,11,3,2,296178.87535458035,0.294,3.339,2
31C_T11_D_D3_W_id219,219,31C,yes,d,11,3,2,424564.30479582754,0.294,3.339,2
31C_T4_A_D3_U_id211,211,31C,no,a,4,3,2,664038.3057792177,0.427,3.724,3
31C_T4_A_D3_W_id138,138,31C,yes,a,4,3,2,340270.77632147487,0.427,3.724,3
31C_T4_C_D3_U_id289,289,31C,no,c,4,3,2,784525.0928254881,-0.028,1.06,1
31C_T4_C_D3_W_id295,295,31C,yes,c,4,3,2,863658.878090895,-0.028,1.06,1
31C_T4_D_D10_U_id230,230,31C,no,d,4,10,2,229156.53020087577,0.294,3.339,2
31C_T4_D_D10_W_id215,215,31C,yes,d,4,10,2,849436.9446538294,0.294,3.339,2
31C_T4_D_D1_U_id249,249,31C,no,d,4,1,2,1144905.8531601226,0.294,3.339,2
31C_T4_D_D1_W_id224,224,31C,yes,d,4,1,2,633946.9313508384,0.294,3.339,2
31C_T5_A_D10_U_id180,180,31C,no,a,5,10,2,103408.64166800884,0.427,3.724,3
31C_T5_A_D10_W_id184,184,31C,yes,a,5,10,2,192844.30254084946,0.427,3.724,3
31C_T5_A_D1_U_id198,198,31C,no,a,5,1,2,680063.18006318,0.427,3.724,3
31C_T5_A_D1_W_id183,183,31C,yes,a,5,1,2,359596.078201139,0.427,3.724,3
31C_T5_C_D10_U_id277,277,31C,no,c,5,10,2,529330.7700301361,-0.028,1.06,1
31C_T5_C_D10_W_id251,251,31C,yes,c,5,10,2,656747.3294092,-0.028,1.06,1
31C_T5_C_D1_U_id278,278,31C,no,c,5,1,2,945424.6983704958,-0.028,1.06,1
31C_T5_C_D1_W_id263,263,31C,yes,c,5,1,2,802785.5962114104,-0.028,1.06,1
31C_T5_D_D3_U_id239,239,31C,no,d,5,3,2,522552.2552255225,0.294,3.339,2
31C_T5_D_D3_W_id221,221,31C,yes,d,5,3,2,530813.7374595255,0.294,3.339,2
